file	rule	startLine	endLine	startColumn	endColumn	sourceFileSha256	classification	translationKey	proofRevision
i18n.lock	generic-api-key	1511	1511	6	57	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	api_key_expires_on	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1578	1578	6	55	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	generate_api_key	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1579	1579	6	67	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	generate_api_key_description	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1580	1580	6	58	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	your_unique_api_key	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1581	1581	6	56	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	copy_safe_api_key	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1588	1588	6	57	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	install_zapier_app	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1597	1597	6	67	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	credentials_stored_encrypted	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1825	1825	6	73	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	upgrade_to_access_recordings_title	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1931	1931	6	52	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	token_address	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1933	1933	6	51	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	old_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1934	1934	6	54	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	secure_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1935	1935	6	62	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	error_updating_password	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1936	1936	6	54	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	two_factor_auth	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1946	1946	6	47	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	2fa_auth	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1967	1967	6	59	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_description	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	1968	1968	6	71	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	set_up_two_factor_authentication	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2081	2081	6	62	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	exchange_authentication	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2082	2082	6	71	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	exchange_authentication_standard	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2083	2083	6	67	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	exchange_authentication_ntlm	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2114	2114	6	59	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	api_keys_description	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2115	2115	6	50	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	new_api_key	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2126	2126	6	61	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_reset_leading	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2127	2127	6	55	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	password_updated	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2265	2265	6	57	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	invalid_credential	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
i18n.lock	generic-api-key	2283	2283	6	74	cb872ad6ceb43bbd1a50c99d00eed91615af8c65fba668abd6448711628dabaa	REPRODUCED_CURRENT_TRANSLATION_CHECKSUM	only_admin_can_manage_oauth_clients	a651b04c7ef7b7c6365cdb4c3ac66c7f2596c205
